feature_idx,entropy,activation_prob,rank
6326,-0.0,0.0,1
76882,-0.0,0.0,2
104320,-0.0,0.0,3
64830,-0.0,0.0,4
109811,-0.0,0.0,5
14097,-0.0,0.0,6
41795,-0.0,0.0,7
41782,-0.0,0.0,8
76916,-0.0,0.0,9
28593,-0.0,0.0,10
109824,-0.0,0.0,11
64816,-0.0,0.0,12
91956,-0.0,0.0,13
116516,-0.0,0.0,14
52569,-0.0,0.0,15
116515,-0.0,0.0,16
14092,-0.0,0.0,17
28601,-0.0,0.0,18
104311,-0.0,0.0,19
91945,-0.0,0.0,20
52582,-0.0,0.0,21
41758,-0.0,0.0,22
64796,-0.0,0.0,23
123920,-0.0,0.0,24
104306,-0.0,0.0,25
64784,-0.0,0.0,26
64776,-0.0,0.0,27
52608,-0.0,0.0,28
119979,-0.0,0.0,29
98080,-0.0,0.0,30
6295,-0.0,0.0,31
109863,-0.0,0.0,32
41847,-0.0,0.0,33
6404,-0.0,0.0,34
52501,-0.0,0.0,35
21874,-0.0,0.0,36
41856,-0.0,0.0,37
41853,-0.0,0.0,38
28542,-0.0,0.0,39
92007,-0.0,0.0,40
64864,-0.0,0.0,41
123946,-0.0,0.0,42
6389,-0.0,0.0,43
41852,-0.0,0.0,44
127833,-0.0,0.0,45
76847,-0.0,0.0,46
109779,-0.0,0.0,47
52529,-0.0,0.0,48
104287,-0.0,0.0,49
6381,-0.0,0.0,50
91995,-0.0,0.0,51
127838,-0.0,0.0,52
116554,-0.0,0.0,53
6377,-0.0,0.0,54
123944,-0.0,0.0,55
41826,-0.0,0.0,56
21849,-0.0,0.0,57
41812,-0.0,0.0,58
21845,-0.0,0.0,59
91989,-0.0,0.0,60
76874,-0.0,0.0,61
64834,-0.0,0.0,62
76878,-0.0,0.0,63
98114,-0.0,0.0,64
109904,-0.0,0.0,65
41664,-0.0,0.0,66
98098,-0.0,0.0,67
116472,-0.0,0.0,68
119990,-0.0,0.0,69
41645,-0.0,0.0,70
52636,-0.0,0.0,71
14153,-0.0,0.0,72
77092,-0.0,0.0,73
21789,-0.0,0.0,74
41617,-0.0,0.0,75
6229,-0.0,0.0,76
91845,-0.0,0.0,77
123898,-0.0,0.0,78
28690,-0.0,0.0,79
77080,-0.0,0.0,80
77118,-0.0,0.0,81
77120,-0.0,0.0,82
64696,-0.0,0.0,83
109929,-0.0,0.0,84
6213,-0.0,0.0,85
14172,-0.0,0.0,86
77131,-0.0,0.0,87
21780,-0.0,0.0,88
14174,-0.0,0.0,89
104267,-0.0,0.0,90
127910,-0.0,0.0,91
104264,-0.0,0.0,92
28706,-0.0,0.0,93
98133,-0.0,0.0,94
116457,-0.0,0.0,95
109870,-0.0,0.0,96
116500,-0.0,0.0,97
91906,-0.0,0.0,98
91905,-0.0,0.0,99
28630,-0.0,0.0,100
