feature_idx,entropy,activation_prob,rank
72668,0.0044819675385952,0.4656982421875,1
30264,0.006192541681230068,0.1612548828125,2
125944,0.014544213190674782,0.1810302734375,3
48291,0.02283896505832672,0.5689697265625,4
93947,0.02496851421892643,0.384033203125,5
41437,0.027956517413258553,0.1119384765625,6
66527,0.03437385335564613,0.437255859375,7
111969,0.03835078701376915,0.3258056640625,8
121298,0.04272184893488884,0.319580078125,9
119265,0.04611774533987045,0.2452392578125,10
20077,0.04874018579721451,0.229248046875,11
43742,0.04898539185523987,0.5411376953125,12
90016,0.05096449330449104,0.284912109375,13
49162,0.051723726093769073,0.3597412109375,14
83090,0.052524857223033905,0.11767578125,15
32837,0.05449173226952553,0.324951171875,16
9800,0.056141749024391174,0.277099609375,17
103255,0.05741792172193527,0.19921875,18
101120,0.05874395743012428,0.4443359375,19
56861,0.06010753661394119,0.3211669921875,20
94252,0.06259883940219879,0.4212646484375,21
106997,0.06741099059581757,0.1536865234375,22
27761,0.06767848879098892,0.191162109375,23
78099,0.0714382454752922,0.1429443359375,24
31465,0.0732518658041954,0.3463134765625,25
126717,0.07400540262460709,0.4188232421875,26
105811,0.07406697422266006,0.1622314453125,27
53479,0.07409931719303131,0.187744140625,28
64478,0.07803978025913239,0.1439208984375,29
57938,0.07827699184417725,0.12744140625,30
126798,0.0789981484413147,0.220458984375,31
113991,0.07954854518175125,0.1248779296875,32
51558,0.07959654182195663,0.140380859375,33
81754,0.07965616136789322,0.272705078125,34
23960,0.08010746538639069,0.123779296875,35
14362,0.08170589804649353,0.1207275390625,36
129757,0.08358502388000488,0.1246337890625,37
57525,0.08435103297233582,0.1376953125,38
91594,0.08482272177934647,0.287841796875,39
38638,0.0850052684545517,0.1363525390625,40
63665,0.08552858978509903,0.1922607421875,41
63820,0.08577852696180344,0.12060546875,42
80417,0.08591552078723907,0.24072265625,43
78033,0.08730729669332504,0.201171875,44
49367,0.08823341876268387,0.2943115234375,45
15697,0.09072426706552505,0.1717529296875,46
40166,0.09269934892654419,0.1092529296875,47
34736,0.09304097294807434,0.1279296875,48
83812,0.0932299792766571,0.67626953125,49
331,0.09336616098880768,0.1146240234375,50
99892,0.09514661133289337,0.1553955078125,51
118395,0.095168836414814,0.1304931640625,52
35731,0.09586907178163528,0.1292724609375,53
3851,0.0968773365020752,0.2490234375,54
125848,0.09788373857736588,0.119873046875,55
42377,0.09789779782295227,0.1318359375,56
58191,0.09965631365776062,0.2869873046875,57
126043,0.10011675208806992,0.1339111328125,58
127056,0.1001640111207962,0.1221923828125,59
29045,0.1027892455458641,0.219482421875,60
104324,0.10304050147533417,0.263671875,61
65871,0.10333573818206787,0.1844482421875,62
40318,0.10390020906925201,0.16650390625,63
113928,0.1057138442993164,0.2713623046875,64
112405,0.1063794195652008,0.322998046875,65
42001,0.10762383788824081,0.132568359375,66
54686,0.10928536206483841,0.4002685546875,67
31884,0.11052796244621277,0.1383056640625,68
85912,0.11267809569835663,0.1298828125,69
19590,0.11500400304794312,0.12646484375,70
45070,0.11663448810577393,0.5205078125,71
55508,0.11716188490390778,0.25634765625,72
22742,0.11957400292158127,0.1016845703125,73
69035,0.12147539854049683,0.208251953125,74
5368,0.12151405215263367,0.25341796875,75
70765,0.12207475304603577,0.4722900390625,76
117950,0.12236830592155457,0.3004150390625,77
125632,0.12274420261383057,0.107177734375,78
65711,0.12295697629451752,0.1336669921875,79
63400,0.12449373304843903,0.2366943359375,80
117553,0.12477681785821915,0.1529541015625,81
73602,0.12658073008060455,0.3687744140625,82
16953,0.12682510912418365,0.1112060546875,83
109950,0.12728074193000793,0.234130859375,84
129606,0.12841245532035828,0.126220703125,85
117483,0.12946456670761108,0.2164306640625,86
112261,0.12974070012569427,0.161865234375,87
41233,0.1304023563861847,0.144287109375,88
48226,0.13128463923931122,0.138916015625,89
42641,0.13341206312179565,0.303955078125,90
23913,0.13441242277622223,0.162353515625,91
116922,0.13940469920635223,0.3319091796875,92
120255,0.13998207449913025,0.123779296875,93
81284,0.14046385884284973,0.216552734375,94
32540,0.14567214250564575,0.75732421875,95
27646,0.14920705556869507,0.103271484375,96
103107,0.15067757666110992,0.118896484375,97
83692,0.15078069269657135,0.240966796875,98
1748,0.15091544389724731,0.3525390625,99
27870,0.15193498134613037,0.3896484375,100
