lang,layer,config1,config2,spearman,kendall,precision@k,jaccard@k,rbo
ko,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/devtest,,,0.0,0.0,0.0
ko,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/dev,,,0.0,0.0,0.0
ko,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus-en-de/devtest,,,0.0,0.0,0.0
ko,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus/dev,,,1.0,1.0,0.09999999999999998
ko,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus-en-de/devtest,0.9999999999999999,1.0,1.0,1.0,0.18999999999999995
ko,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape_streaming/flores_plus-en-de/devtest,,,1.0,1.0,0.09999999999999998
en,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores-en-de/devtest,,,0.0,0.0,0.0
en,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/devtest,,,0.0,0.0,0.0
en,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/dev,,,0.0,0.0,0.0
en,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus-en-de/devtest,,,0.0,0.0,0.0
en,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus-en-de/dev,,,0.0,0.0,0.0
en,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape/flores_plus-en-de-scratch/devtest,,,0.0,0.0,0.0
en,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape/flores_plus-en-de/devtest,,,0.0,0.0,0.0
en,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape/flores_plus-en-de/dev,,,0.0,0.0,0.0
en,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape_streaming/flores_plus/devtest,0.1307142857142857,0.09183673469387753,0.32,0.19047619047619047,0.21214512794780976
en,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape_streaming/flores_plus/dev,0.21008403361344538,0.1461224489795918,0.32,0.19047619047619047,0.2068284962329531
en,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape_streaming/flores_plus-en-de/devtest,0.5555555555555555,0.42153846153846153,0.08,0.041666666666666664,0.011408714243104346
en,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape_streaming/flores_plus-en-de/dev,0.725718194254446,0.5602240896358543,0.76,0.6129032258064516,0.726688552974874
en,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape/flores_plus-en-de-scratch/devtest,0.905022131426626,0.7492339121552606,0.86,0.7543859649122807,0.8578914662827362
en,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape/flores_plus-en-de/devtest,0.9999999999999999,1.0,1.0,1.0,0.999973438601112
en,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape/flores_plus-en-de/dev,0.725718194254446,0.5602240896358543,0.76,0.6129032258064516,0.726688552974874
en,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus/dev,0.9611145408898217,0.8392009987515606,0.92,0.8518518518518519,0.9288419758853456
en,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus-en-de/devtest,-0.07142857142857144,-0.04761904761904762,0.0,0.0,3.777750612562702e-05
en,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus-en-de/dev,0.19568300955905027,0.14009661835748793,0.34,0.20481927710843373,0.2550534403782075
en,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape/flores_plus-en-de-scratch/devtest,0.12364307425097698,0.08156028368794327,0.38,0.2345679012345679,0.17801932792427982
en,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape/flores_plus-en-de/devtest,0.1307142857142857,0.09183673469387753,0.32,0.19047619047619047,0.21214512794780976
en,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape/flores_plus-en-de/dev,0.19568300955905027,0.14009661835748793,0.34,0.20481927710843373,0.2550534403782075
en,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape_streaming/flores_plus-en-de/devtest,-0.38095238095238104,-0.2857142857142857,0.0,0.0,3.4649526559149846e-05
en,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape_streaming/flores_plus-en-de/dev,0.25032566217976554,0.17553191489361705,0.36,0.21951219512195122,0.26791299141995617
en,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape/flores_plus-en-de-scratch/devtest,0.14303885291396856,0.0971322849213691,0.38,0.2345679012345679,0.185871394130087
